Date,Close,prob_up,signal,true_label,fwd_ret_5
2025-01-08,2664.5,0.46002272,-1,1,0.03073743754691316
2025-01-10,2708.5,0.46093848,-1,1,0.013217666172466336
2025-01-13,2673.5,0.41310805,-1,1,0.03048438376659801
2025-01-14,2677.5,0.42969126,-1,1,0.03365083012371617
2025-01-15,2712.5,0.4475357,-1,1,0.018654413882488452
2025-01-16,2746.39990234375,0.46043,-1,1,0.011251146075997642
2025-01-23,2763.10009765625,0.4529249,-1,1,0.021678513346135686
2025-01-24,2777.300048828125,0.43835768,-1,1,0.012674162154977742
2025-01-27,2737.5,0.4681786,-1,1,0.03521457619863022
2025-01-28,2766.800048828125,0.4833064,-1,1,0.0312635530119485
2025-01-29,2769.10009765625,0.4736636,-1,1,0.037015635544108916
2025-01-30,2823.0,0.48988202,-1,1,0.011689691817215797
2025-01-31,2812.5,0.49201363,-1,1,0.01948446180555563
2025-02-03,2833.89990234375,0.45872003,-1,1,0.028370849096639228
2025-02-04,2853.300048828125,0.46505547,-1,1,0.0207478884655643
2025-02-05,2871.60009765625,0.4887329,-1,1,0.01302406361327102
2025-02-06,2856.0,0.52605635,1,1,0.024474755722601493
2025-02-12,2909.0,0.5436865,1,1,0.010656583018219257
2025-02-14,2883.60009765625,0.55197257,1,1,0.022298447256872356
2025-02-18,2931.60009765625,0.53329337,1,0,-0.009244131789296839
2025-02-20,2940.0,0.52530384,1,0,-0.019319744499362246
2025-02-21,2937.60009765625,0.524641,1,0,-0.034313740971260165
2025-02-24,2947.89990234375,0.5475496,1,0,-0.019573239622553085
2025-02-27,2883.199951171875,0.55955553,1,1,0.011584401723785831
2025-02-28,2836.800048828125,0.521248,1,1,0.02393538535498796
2025-03-05,2915.300048828125,0.5356594,1,1,0.008163841947483874
2025-03-06,2916.60009765625,0.52943164,1,1,0.02321194161183704
2025-03-07,2904.699951171875,0.48910883,-1,1,0.030915430281153844
2025-03-10,2891.0,0.49950716,-1,1,0.037703216879972246
2025-03-11,2912.89990234375,0.52588147,1,1,0.04195138844770341
2025-03-12,2939.10009765625,0.5412661,1,1,0.032935184740625845
2025-03-13,2984.300048828125,0.5210288,1,1,0.01866432673006435
2025-03-14,2994.5,0.54965115,1,1,0.007914493628944808
2025-03-18,3035.10009765625,0.52183795,1,0,-0.0037561023088426015
2025-03-19,3035.89990234375,0.5305318,1,0,-0.004940874364276593
2025-03-21,3018.199951171875,0.51529765,1,1,0.022629398294704117
2025-03-24,3013.10009765625,0.51172876,1,1,0.0364076690506252
2025-03-25,3023.699951171875,0.47479567,-1,1,0.03148458931415443
2025-03-26,3020.89990234375,0.49044234,-1,1,0.03939223537584757
2025-03-27,3060.199951171875,0.51411307,1,1,0.012025373967486264
2025-03-28,3086.5,0.52576536,1,0,-0.024137372428316817
2025-03-31,3122.800048828125,0.5868631,1,0,-0.054918661879859276
2025-04-01,3118.89990234375,0.5940346,1,0,-0.048254193694034275
2025-04-02,3139.89990234375,0.5830159,1,0,-0.026561325181575612
2025-04-03,3097.0,0.56624794,1,1,0.01879236395604611
2025-04-04,3012.0,0.6433277,1,1,0.06978750038906867
2025-04-07,2951.300048828125,0.58173037,1,1,0.08589435022056047
2025-04-08,2968.39990234375,0.56273407,1,1,0.08432153923414987
2025-04-09,3056.5,0.53495204,1,1,0.08836908151684941
2025-04-10,3155.199951171875,0.51554126,1,1,0.048649848623060654
2025-04-11,3222.199951171875,0.4544579,-1,1,0.05710384296079507
2025-04-14,3204.800048828125,0.4701805,-1,1,0.06115826167428762
2025-04-15,3218.699951171875,0.5330652,1,1,0.01789545422998451
2025-04-17,3308.699951171875,0.5253947,1,0,-0.00794875607224832
2025-04-21,3406.199951171875,0.5116956,1,0,-0.021637000830359132
2025-04-22,3400.800048828125,0.46824014,-1,0,-0.024111973307062273
2025-04-23,3276.300048828125,0.48478124,-1,1,0.008759866539739036
2025-04-24,3332.0,0.4983446,-1,0,-0.03661464585834329
2025-04-25,3282.39990234375,0.4773407,-1,0,-0.015385084542544947
2025-04-28,3332.5,0.5004163,1,0,-0.006361575745498893
2025-04-29,3318.800048828125,0.4889304,-1,1,0.027901606650970745
2025-04-30,3305.0,0.5318083,1,1,0.02311646061838135
2025-05-01,3210.0,0.5463819,1,1,0.02697822356892532
2025-05-02,3231.89990234375,0.5420235,1,1,0.03202450667638024
2025-05-05,3311.300048828125,0.53026927,1,0,-0.02757226692894721
2025-05-06,3411.39990234375,0.5047585,1,0,-0.050155319931290854
2025-05-07,3381.39990234375,0.51265997,1,0,-0.05914710054299521
2025-05-08,3296.60009765625,0.5274718,1,0,-0.02302376516288307
2025-05-09,3335.39990234375,0.52456427,1,0,-0.04599145734697585
2025-05-13,3240.300048828125,0.5216648,1,1,0.01234453581373307
2025-05-14,3181.39990234375,0.5436585,1,1,0.04020247388269249
2025-05-15,3220.699951171875,0.5787654,1,1,0.022231222635377135
2025-05-16,3182.0,0.5734084,1,1,0.05707105520309552
2025-05-19,3228.89990234375,0.5895866,1,1,0.02174121138333951
2025-05-27,3299.10009765625,0.5947604,1,1,0.015489027917621412
2025-05-28,3293.60009765625,0.56916076,1,1,0.02425913892843501
2025-05-29,3317.10009765625,0.5624031,1,1,0.01012928537772062
2025-05-30,3288.89990234375,0.55525756,1,1,0.01027700745894955
2025-06-02,3370.60009765625,0.5674271,1,0,-0.0114222983695903
2025-06-03,3350.199951171875,0.53325045,1,0,-0.008745761224752013
2025-06-04,3373.5,0.5393346,1,0,-0.015473529323217772
2025-06-05,3350.699951171875,0.54234433,1,1,0.00901302760974243
2025-06-06,3322.699951171875,0.5247986,1,1,0.032654167271930046
2025-06-09,3332.10009765625,0.49766397,-1,1,0.01929708076078729
2025-06-10,3320.89990234375,0.5194518,1,1,0.01978385294483931
2025-06-11,3321.300048828125,0.51593316,1,1,0.020624453976739954
2025-06-12,3380.89990234375,0.51755375,1,0,-0.0037859164888693897
2025-06-13,3431.199951171875,0.5225691,1,0,-0.015592212858865251
2025-06-16,3396.39990234375,0.507769,1,0,-0.023259922939429023
2025-06-17,3386.60009765625,0.4743672,-1,0,-0.01756924298241702
2025-06-18,3389.800048828125,0.49110156,-1,0,-0.016608663643033594
2025-06-20,3368.10009765625,0.47650757,-1,0,-0.02802771406647475
2025-06-23,3377.699951171875,0.47342134,-1,0,-0.02466176689235655
2025-06-27,3273.699951171875,0.5053636,1,1,0.017869688997936173
2025-07-01,3336.699951171875,0.5426385,1,0,-0.007522358582709776
2025-07-02,3348.0,0.53365004,1,0,-0.00913981411477005
2025-07-03,3331.60009765625,0.5099498,1,1,0.007323778853564944
2025-07-09,3311.60009765625,0.47759452,-1,1,0.01235049557242629
2025-07-14,3351.5,0.5215117,1,1,0.015038013529389715
2025-07-15,3329.800048828125,0.51316446,1,1,0.032854796305937795
2025-07-16,3352.5,0.4918296,-1,1,0.012408679390380373
2025-07-17,3340.10009765625,0.49952948,-1,1,0.00925119051534784
2025-07-18,3353.0,0.5068108,1,0,-0.005666567253206134
2025-07-21,3401.89990234375,0.49937138,-1,0,-0.027278816940958572
2025-07-22,3439.199951171875,0.49666792,-1,0,-0.033670635750232325
2025-07-23,3394.10009765625,0.5107603,1,0,-0.02896203588574331
2025-07-24,3371.0,0.5049623,1,0,-0.023079219468444045
2025-07-28,3309.10009765625,0.5000826,1,1,0.019733402665501165
2025-07-29,3323.39990234375,0.49751788,-1,1,0.017602455834082598
2025-07-30,3295.800048828125,0.50766414,1,1,0.025547651533597726
2025-07-31,3293.199951171875,0.53607464,1,1,0.03252158971341501
2025-08-01,3347.699951171875,0.5591208,1,1,0.02730237112569789
2025-08-04,3374.39990234375,0.5236859,1,0,-0.006312175587933622
2025-08-05,3381.89990234375,0.5170283,1,0,-0.009757828721403072
2025-08-06,3380.0,0.5189028,1,0,-0.0063017895941198665
2025-08-07,3400.300048828125,0.52611005,1,0,-0.019145397971183753
2025-08-08,3439.10009765625,0.5138986,1,0,-0.029978801060926652
2025-08-11,3353.10009765625,0.5067148,1,0,-0.006382197328178019
